title,description,items,memo
お好み焼きの材料,我が家のレシピです,"お好みソース
キャベツ
卵
大和芋
人参
豚バラスライス
ネギ
こんにゃく
ちくわ
小麦粉
かつお節
のり
ホールコーン
天かす
桜えび
紅生姜
",大和芋は重要
守破離,"守破離（しゅはり）は、日本での茶道、武道、芸術等における師弟関係のあり方の一つ。
日本において左記の文化が発展、進化してきた創造的な過程のベースとなっている思想でもある。
個人のスキル(作業遂行能力)を3段階のレベルで表している。","守：支援のもとに作業を遂行できる(半人前)。 ～ 自律的に作業を遂行できる(1人前)。
破：作業を分析し改善・改良できる(1.5人前)。
離：新たな知識(技術)を開発できる(創造者)。",wikipedia より
おでん,我が家のレシピです,"じゃがいも
大根
ちくわ
ゴボ天
こんにゃく
厚揚
さつま揚げ
もち巾着
たまご
がんもどき
ウインナー
牛すじ
しらたき",じゃがいも重要
オズボーンのチェックリスト,オズボーンによる発散発想技法。ブレストなどの際に発想を広げるのに役立つ,"転用：新しい使い道は？他分野へ適用はないか？
応用：似たものはないか？何かの真似はできないか？
変更：意味、色、働き、音、匂い、様式、型を変えれないか？
拡大：より大きく、強く、高く、長く、厚くできないか？時間や頻度などかえれないか？
縮小：より小さく、軽く、弱く、短くできないか？省略や分割できないか？何か減らすことができないか？
代用：人を、物を、材料を、素材を、製法を、動力を、場所を代用できないか？
再利用：要素を、型を、配置を、順序を、因果を、ペースを変えたりできないか？",
歴代アメリカ大統領,"1776年7月4日の独立より240年で44代の大統領が存在する。
アメリカ合衆国大統領選挙によって選出される。","1: ジョージ・ワシントン
2: ジョン・アダムズ
3: トマス・ジェファソン
4:ジェームズ・マディソン
5: ジェームズ・モンロー
6: ジョン・クインシー・アダムズ
7: アンドリュー・ジャクソン
8: マーティン・ヴァン・ビューレン
9: ウィリアム・ハリソン
10: ジョン・タイラー
11: ジェームズ・ポーク
12: ザカリー・テイラー
13: ミラード・フィルモア
14: フランクリン・ピアース
15: ジェームズ・ブキャナン
16: エイブラハム・リンカーン
17: アンドリュー・ジョンソン
18: ユリシーズ・グラント
19:ラザフォード・ヘイズ
20: ジェームズ・ガーフィールド
21: チェスター・アーサー
22: グロヴァー・クリーヴランド
23: ベンジャミン・ハリソン
24: グロヴァー・クリーヴランド
25: ウィリアム・マッキンリー
26: セオドア・ローズヴェルト
27: ウィリアム・タフト
28: ウッドロウ・ウィルソン
29: ウォレン・ハーディング
30: カルヴィン・クーリッジ
31:ハーバート・フーヴァー
32: フランクリン・ローズヴェルト
33: ハリー・トルーマン
34: ドワイト・アイゼンハワー
35: ジョン・ケネディ
36: リンドン・ジョンソン
37: リチャード・ニクソン
38: ジェラルド・フォード
39: ジミー・カーター
40: ロナルド・レーガン
41: ジョージ・ブッシュ
42: ウィリアム・クリントン
43: ジョージ・ウォーカー・ブッシュ
44: バラク・オバマ
45: ドナルド・トランプ",45代 ドナルド・トランプ氏は2017年1月20日（就任予定）
非常持ち出し袋の中身,以下のものを手が空く用にリュックサック等に入れて用意しておく,"懐中電灯
非常食
携帯ラジオ
ヘッドライト
乾電池
救急セット
ヘルメット
簡易トイレ
携帯充電器・バッテリー
ひも・ロープ
ホイッスル
保険証コピー
筆記用具
マスク
ポリ袋
防災地図
ティッシュ
ウエットティッシュ
家族全員の写真
レインコート（防寒用としても）
現金（10円硬貨）
",
QC七つ道具,"日本の製造業でよく使われる品質改善のための手法。
そこで使われる情報整理・分析のツールをいう。","パレート図
特性要因図
グラフ（管理図を含む）
チェックシート
ヒストグラム
散布図
層別",
料理のさしすせそ,煮物などを作るときの調味料を入れる順番。,"砂糖
塩
酢
醤油
味噌",材料にしみにくい順、味をつけやすい順になっているらしい。
海外旅行の持ち物,着替えを除いた持ち物リスト。,"エアチケット・クーポン
マイレージカード
日本円
現地通貨
クレジットカード
セキュリティポーチ
常備薬（腹痛・風邪薬・消毒液等）
ウエットティッシュ
レジャーシート
日焼け止め
虫除け
カメラ
メモリーカード
充電器・ケーブル
電卓
PC
現地用電源プラグ変換アダプタ
ビニール袋・ジップロック
雨具
ガイドブック
辞書
筆記用具
各所連絡先（大使館・クレジットカード・旅行会社・航空会社・ホテル）
",
7行でわかる「桃太郎」のあらすじ,誰もが知っている桃太郎。そのあらすじをリスト化。,"川に流れてきた桃から生まれる
おばあさん、おじいさんに育てられる
鬼の非道を知る
鬼退治に旅立つ
猿、雉、犬を吉備団子で手なづけ、家来にする
鬼ヶ島にたどり着き、鬼を成敗する
宝を持ち帰り幸せに暮す
",
